name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"eta[86]",2.1,0.0036,0.21,1.7,2.1,2.4,3428,971,1.00
"eta[87]",2.4,0.0029,0.18,2.2,2.4,2.7,3887,1101,1.00
"eta[88]",1.5,0.0040,0.26,1.1,1.5,2.0,4126,1168,1.0
"eta[89]",1.7,0.0039,0.25,1.3,1.7,2.1,4016,1137,1.0
"eta[90]",1.8,0.0040,0.25,1.4,1.8,2.2,4093,1159,1.0
"eta[91]",1.8,0.0040,0.26,1.3,1.8,2.2,4126,1168,1.0
"eta[92]",2.7,0.0054,0.30,2.3,2.7,3.2,3091,875,1.0
"eta[93]",2.1,0.0039,0.25,1.7,2.1,2.5,3874,1097,1.0
"eta[94]",3.5,0.0063,0.34,2.9,3.4,4.1,2982,844,1.00
"eta[95]",5.1,0.011,0.60,4.2,5.1,6.1,2909,824,1.00
"eta[96]",1.8,0.0040,0.26,1.4,1.8,2.2,4120,1167,1.0
"eta[97]",1.8,0.0040,0.26,1.4,1.8,2.2,4114,1165,1.0
"eta[98]",1.8,0.0040,0.25,1.4,1.8,2.3,4085,1157,1.0
"eta[99]",1.6,0.0040,0.26,1.2,1.6,2.0,4107,1163,1.0
"eta[100]",1.6,0.0040,0.26,1.2,1.6,2.1,4107,1163,1.0
"eta[101]",1.8,0.0040,0.26,1.3,1.8,2.2,4126,1168,1.0
"eta[102]",1.8,0.0040,0.26,1.3,1.8,2.2,4126,1168,1.0
"eta[103]",1.8,0.0040,0.26,1.3,1.8,2.2,4126,1168,1.0
"eta[104]",1.8,0.0040,0.26,1.4,1.8,2.2,4119,1166,1.0
"eta[105]",1.8,0.0040,0.26,1.3,1.8,2.2,4126,1168,1.0
"eta[106]",2.0,0.0039,0.25,1.6,2.0,2.4,3996,1131,1.0
"eta[107]",1.7,0.0045,0.26,1.3,1.7,2.2,3374,955,1.0
"eta[108]",1.5,0.0040,0.26,1.1,1.5,2.0,4120,1167,1.0
"eta[109]",2.1,0.0039,0.25,1.7,2.1,2.5,3976,1126,1.0
"eta[110]",3.4,0.0060,0.33,2.8,3.3,3.9,3007,851,1.00
"eta[111]",1.6,0.0040,0.26,1.1,1.6,2.0,4114,1165,1.0
"eta[112]",2.8,0.0048,0.27,2.4,2.8,3.3,3237,916,1.0
"eta[113]",0.15,0.0040,0.26,-0.27,0.14,0.57,4126,1168,1.0
"eta[114]",1.8,0.0040,0.26,1.4,1.8,2.2,4119,1166,1.0
"eta[115]",4.0,0.0076,0.41,3.3,4.0,4.7,2919,827,1.00
"eta[116]",2.9,0.0050,0.28,2.5,2.9,3.4,3165,896,1.0
"eta[117]",1.8,0.0040,0.25,1.4,1.8,2.2,4093,1159,1.0
"eta[118]",1.8,0.0040,0.25,1.4,1.8,2.3,4078,1154,1.0
"eta[119]",1.8,0.0040,0.26,1.3,1.8,2.2,4126,1168,1.0
"eta[120]",1.8,0.0040,0.25,1.4,1.8,2.2,4100,1161,1.0
"eta[121]",2.5,0.0042,0.25,2.0,2.4,2.9,3538,1002,1.0
"eta[122]",3.7,0.0065,0.35,3.1,3.7,4.3,2967,840,1.00
"eta[123]",1.9,0.0040,0.26,1.5,1.9,2.3,4120,1167,1.0
"eta[124]",1.8,0.0040,0.26,1.4,1.8,2.2,4119,1166,1.0
"eta[125]",1.9,0.0039,0.25,1.5,1.9,2.3,3862,1093,1.0
"eta[126]",2.0,0.0039,0.25,1.5,1.9,2.4,4006,1134,1.0
"eta[127]",1.5,0.0040,0.26,1.1,1.5,2.0,4121,1167,1.0
"eta[128]",1.8,0.0040,0.26,1.3,1.8,2.2,4126,1168,1.0
"eta[129]",2.2,0.0040,0.24,1.8,2.2,2.6,3800,1076,1.0
"eta[130]",5.0,0.0064,0.35,4.4,5.0,5.6,2971,841,1.00
"eta[131]",3.2,0.0061,0.33,2.7,3.2,3.8,2995,848,1.00
"eta[132]",1.6,0.0040,0.26,1.1,1.6,2.0,4114,1165,1.0
"eta[133]",1.6,0.0040,0.26,1.1,1.6,2.0,4114,1165,1.0
"eta[134]",1.8,0.0040,0.26,1.3,1.8,2.2,4126,1168,1.0
"eta[135]",1.8,0.0040,0.26,1.4,1.8,2.2,4107,1163,1.0
"eta[136]",2.6,0.0041,0.25,2.2,2.6,3.0,3635,1029,1.0
"eta[137]",2.6,0.0045,0.26,2.2,2.6,3.1,3374,955,1.0
"eta[138]",1.8,0.0040,0.26,1.3,1.8,2.2,4126,1168,1.0
"eta[139]",2.4,0.0041,0.25,2.0,2.4,2.8,3597,1018,1.0
"eta[140]",2.1,0.0039,0.25,1.7,2.1,2.5,3872,1096,1.0
"eta[141]",2.7,0.0027,0.17,2.4,2.7,3.0,4180,1183,1.00
"eta[142]",1.3,0.0036,0.21,0.96,1.3,1.7,3428,971,1.00
"eta[143]",2.1,0.0035,0.21,1.8,2.1,2.5,3479,985,1.00
"eta[144]",3.0,0.0036,0.21,2.6,3.0,3.3,3428,971,1.00
"eta[145]",2.5,0.0036,0.21,2.1,2.5,2.8,3440,974,1.00
"eta[146]",2.1,0.0036,0.21,1.7,2.1,2.4,3428,971,1.00
"eta[147]",2.1,0.0036,0.21,1.7,2.1,2.4,3428,971,1.00
"eta[148]",2.4,0.0033,0.20,2.0,2.4,2.7,3572,1011,1.00
"eta[149]",2.1,0.0036,0.21,1.7,2.1,2.4,3428,971,1.00
"eta[150]",2.3,0.0035,0.21,1.9,2.3,2.6,3466,981,1.00
"eta[151]",2.1,0.0036,0.21,1.7,2.1,2.4,3428,971,1.00
"eta[152]",2.1,0.0036,0.21,1.7,2.1,2.4,3428,971,1.00
"eta[153]",2.1,0.0036,0.21,1.7,2.1,2.4,3428,971,1.00
"eta[154]",1.9,0.0035,0.21,1.6,1.9,2.3,3475,984,1.00
"eta[155]",2.2,0.0036,0.21,1.9,2.2,2.6,3428,971,1.00
"eta[156]",2.1,0.0036,0.21,1.7,2.1,2.4,3428,971,1.00
"eta[157]",2.6,0.0048,0.23,2.3,2.6,3.0,2332,660,1.0
"eta[158]",3.3,0.0048,0.23,2.9,3.3,3.7,2335,661,1.0
"eta[159]",2.1,0.0035,0.21,1.8,2.1,2.5,3453,978,1.00
"eta[160]",3.3,0.0028,0.19,3.0,3.3,3.6,4468,1265,1.00
"eta[161]",3.3,0.0028,0.18,3.0,3.3,3.6,3942,1116,1.00
"eta[162]",2.2,0.0033,0.20,1.9,2.2,2.5,3565,1009,1.00
"eta[163]",1.7,0.0033,0.20,1.3,1.7,2.0,3568,1010,1.00
"eta[164]",2.6,0.0048,0.23,2.3,2.6,3.0,2332,660,1.0
"eta[165]",2.1,0.0032,0.19,1.8,2.1,2.4,3612,1023,1.00
"eta[166]",1.9,0.0036,0.21,1.5,1.9,2.2,3440,974,1.00
"eta[167]",2.4,0.0028,0.18,2.1,2.4,2.7,3984,1128,1.00
"eta[168]",3.7,0.0048,0.23,3.3,3.7,4.1,2332,660,1.0
"eta[169]",3.3,0.0040,0.21,3.0,3.3,3.7,2766,783,1.0
"eta[170]",2.2,0.0035,0.20,1.8,2.1,2.5,3492,989,1.00
"eta[171]",4.0,0.0050,0.31,3.5,4.0,4.5,3774,1069,1.00
"eta[172]",2.4,0.0030,0.18,2.1,2.4,2.7,3800,1076,1.00
"eta[173]",2.2,0.0034,0.20,1.9,2.2,2.5,3506,993,1.00
"eta[174]",1.7,0.0033,0.20,1.4,1.7,2.0,3565,1009,1.00
"eta[175]",3.2,0.0032,0.21,2.9,3.2,3.6,4283,1213,1.00
"eta[176]",2.8,0.0026,0.17,2.5,2.8,3.1,4371,1238,1.00
"eta[177]",1.9,0.0036,0.21,1.5,1.9,2.2,3428,971,1.00
"eta[178]",2.3,0.0032,0.19,2.0,2.3,2.6,3667,1038,1.00
"eta[179]",2.6,0.0034,0.20,2.3,2.6,2.9,3531,1000,1.00
"eta[180]",2.8,0.0026,0.17,2.5,2.8,3.1,4322,1224,1.00
"eta[181]",2.1,0.0035,0.21,1.8,2.1,2.5,3453,978,1.00
"eta[182]",3.0,0.0027,0.18,2.7,3.0,3.3,4510,1277,1.00
"eta[183]",1.9,0.0036,0.21,1.5,1.9,2.2,3428,971,1.00
"eta[184]",1.9,0.0036,0.21,1.5,1.9,2.2,3428,971,1.00
"eta[185]",2.1,0.0036,0.21,1.7,2.1,2.4,3428,971,1.00
"eta[186]",2.1,0.0035,0.21,1.8,2.1,2.5,3468,982,1.00
"eta[187]",2.8,0.0047,0.23,2.4,2.8,3.1,2348,665,1.0
"eta[188]",2.7,0.0047,0.23,2.3,2.7,3.1,2341,663,1.0
"eta[189]",2.9,0.0048,0.23,2.5,2.8,3.2,2332,660,1.0
"eta[190]",2.8,0.0046,0.22,2.4,2.8,3.1,2370,671,1.0
"eta[191]",2.9,0.0048,0.23,2.5,2.9,3.3,2335,661,1.0
"eta[192]",2.1,0.0036,0.21,1.7,2.1,2.4,3428,971,1.00
"eta[193]",1.9,0.0036,0.21,1.5,1.9,2.2,3440,974,1.00
"eta[194]",2.2,0.0033,0.20,1.9,2.2,2.6,3596,1018,1.00
"eta[195]",2.3,0.0031,0.19,2.0,2.3,2.6,3681,1042,1.00
"eta[196]",2.3,0.0032,0.19,2.0,2.3,2.6,3663,1037,1.00
"eta[197]",2.5,0.0035,0.21,2.1,2.5,2.8,3459,979,1.00
"eta[198]",2.6,0.0036,0.21,2.3,2.6,3.0,3428,971,1.00
"eta[199]",2.1,0.0030,0.19,1.8,2.1,2.4,3772,1068,1.00
"eta[200]",4.1,0.0056,0.34,3.6,4.1,4.7,3690,1045,1.00
"eta[201]",3.5,0.0035,0.23,3.2,3.5,3.9,4161,1178,1.00
"eta[202]",3.2,0.0028,0.18,2.9,3.2,3.5,4016,1137,1.00
"eta[203]",2.1,0.0036,0.21,1.7,2.1,2.4,3428,971,1.00
"eta[204]",2.1,0.0035,0.21,1.8,2.1,2.5,3466,981,1.00
"eta[205]",2.1,0.0035,0.21,1.8,2.1,2.5,3454,978,1.00
"eta[206]",2.1,0.0036,0.21,1.7,2.1,2.4,3428,971,1.00
"eta[207]",2.7,0.0026,0.17,2.4,2.7,3.0,4232,1198,1.00
"eta[208]",2.1,0.0036,0.21,1.8,2.1,2.4,3444,975,1.00
"eta[209]",1.9,0.0036,0.21,1.5,1.9,2.2,3440,974,1.00
"eta[210]",2.1,0.0036,0.21,1.8,2.1,2.4,3440,974,1.00
"eta[211]",2.1,0.0036,0.21,1.7,2.1,2.4,3428,971,1.00
"eta[212]",2.9,0.0036,0.21,2.6,2.9,3.3,3428,971,1.00
"eta[213]",2.6,0.0026,0.17,2.3,2.6,2.9,4347,1231,1.00
"eta[214]",2.5,0.0035,0.21,2.2,2.5,2.8,3481,986,1.00
"eta[215]",2.8,0.0026,0.17,2.5,2.8,3.1,4279,1212,1.00
"eta[216]",3.0,0.0029,0.18,2.7,3.0,3.3,3923,1111,1.00
"eta[217]",5.5,0.0070,0.42,4.9,5.5,6.3,3683,1043,1.00
"eta[218]",3.0,0.0048,0.23,2.6,3.0,3.4,2332,660,1.0
"eta[219]",2.9,0.0048,0.23,2.5,2.9,3.3,2338,662,1.0
"eta[220]",2.9,0.0048,0.23,2.5,2.9,3.3,2337,662,1.0
"eta[221]",4.2,0.0042,0.24,3.8,4.2,4.6,3372,955,1.00
"eta[222]",5.8,0.0087,0.52,5.0,5.7,6.7,3634,1029,1.00
"eta[223]",5.0,0.0052,0.31,4.5,5.0,5.6,3670,1039,1.00
"eta[224]",3.0,0.0044,0.22,2.7,3.0,3.4,2390,677,1.0
"eta[225]",3.0,0.0047,0.23,2.7,3.0,3.4,2341,663,1.0
"eta[226]",3.1,0.0048,0.23,2.7,3.1,3.5,2334,661,1.0
"eta[227]",3.4,0.0040,0.23,3.0,3.4,3.8,3190,903,1.00
"eta[228]",3.1,0.0044,0.22,2.8,3.1,3.5,2396,678,1.0
"eta[229]",2.9,0.0044,0.22,2.5,2.9,3.2,2395,678,1.0
"eta[230]",3.6,0.0040,0.21,3.3,3.6,4.0,2738,775,1.0
"eta[231]",2.9,0.0048,0.23,2.5,2.8,3.2,2332,660,1.0
"eta[232]",3.2,0.0048,0.23,2.8,3.2,3.6,2335,661,1.0
"eta[233]",2.9,0.0048,0.23,2.5,2.8,3.2,2332,660,1.0
"eta[234]",2.9,0.0047,0.23,2.6,2.9,3.3,2350,665,1.0
"eta[235]",2.9,0.0048,0.23,2.5,2.8,3.2,2332,660,1.0
"eta[236]",2.6,0.0045,0.26,2.1,2.6,3.0,3503,992,1.0
"eta[237]",2.5,0.0045,0.27,2.1,2.5,3.0,3498,990,1.0
"eta[238]",2.5,0.0045,0.27,2.1,2.5,3.0,3498,990,1.0
"eta[239]",2.5,0.0045,0.27,2.1,2.5,3.0,3498,990,1.0
"eta[240]",2.5,0.0045,0.27,2.1,2.5,3.0,3498,990,1.0
"eta[241]",3.0,0.0044,0.26,2.6,3.0,3.5,3490,988,1.0
"eta[242]",2.4,0.0045,0.27,1.9,2.4,2.8,3498,990,1.0
"eta[243]",2.6,0.0045,0.26,2.1,2.6,3.0,3503,992,1.0
"eta[244]",2.5,0.0045,0.26,2.1,2.5,3.0,3501,991,1.0
"eta[245]",4.3,0.0065,0.37,3.7,4.3,4.9,3234,915,1.0
"eta[246]",2.5,0.0045,0.27,2.1,2.5,3.0,3498,990,1.0
"eta[247]",3.4,0.0048,0.28,3.0,3.4,3.9,3392,960,1.0
"eta[248]",2.5,0.0045,0.27,2.1,2.5,3.0,3500,991,1.0
"eta[249]",2.5,0.0045,0.27,2.1,2.5,3.0,3498,990,1.0
"eta[250]",2.0,0.0045,0.27,1.6,2.0,2.5,3498,990,1.0
"eta[251]",2.6,0.0045,0.27,2.1,2.5,3.0,3498,990,1.0
"eta[252]",2.5,0.0045,0.27,2.1,2.5,3.0,3500,991,1.0
"eta[253]",2.5,0.0045,0.27,2.1,2.5,3.0,3500,991,1.0
"eta[254]",2.2,0.0045,0.26,1.8,2.2,2.6,3502,992,1.0
"eta[255]",3.0,0.0045,0.27,2.5,3.0,3.4,3440,974,1.0
"eta[256]",2.7,0.0044,0.26,2.3,2.7,3.1,3506,993,1.0
"eta[257]",2.3,0.0045,0.27,1.9,2.3,2.7,3498,990,1.0
"eta[258]",2.9,0.0045,0.27,2.5,2.9,3.4,3498,990,1.0
"eta[259]",2.5,0.0045,0.27,2.1,2.5,3.0,3498,990,1.0
"eta[260]",2.5,0.0045,0.27,2.1,2.5,3.0,3498,990,1.0
"eta[261]",2.5,0.0045,0.27,2.1,2.5,3.0,3498,990,1.0
"eta[262]",2.5,0.0045,0.27,2.1,2.5,3.0,3498,990,1.0
"log_lik[1]",-7.0,0.0022,0.12,-7.2,-6.9,-6.8,2825,800,1.0
"log_lik[2]",-6.8,0.0025,0.13,-7.1,-6.8,-6.6,2923,828,1.00
"log_lik[3]",-3.8,0.0013,0.066,-3.9,-3.8,-3.7,2702,765,1.0
"log_lik[4]",-3.8,0.0013,0.066,-3.9,-3.8,-3.7,2712,768,1.0
"log_lik[5]",-0.98,0.0017,0.088,-1.1,-0.97,-0.83,2736,775,1.0
"log_lik[6]",-0.93,0.0016,0.085,-1.1,-0.93,-0.80,2759,781,1.0
"log_lik[7]",-6.7,0.0026,0.17,-7.0,-6.7,-6.4,4555,1290,1.0
"log_lik[8]",-5.0,0.0013,0.068,-5.1,-5.0,-4.9,2599,736,1.0
"log_lik[9]",-2.9,0.0013,0.063,-3.0,-2.9,-2.8,2497,707,1.0
"log_lik[10]",-3.0,0.0012,0.059,-3.1,-3.0,-2.9,2499,708,1.0
"log_lik[11]",-1.6,0.0028,0.15,-1.9,-1.6,-1.4,2966,840,1.0
"log_lik[12]",-4.9,0.0013,0.068,-5.0,-4.9,-4.8,2637,747,1.0
"log_lik[13]",-1.5,0.0025,0.13,-1.7,-1.5,-1.3,2789,790,1.0
"log_lik[14]",-7.4,0.0032,0.19,-7.7,-7.4,-7.1,3423,969,1.00
"log_lik[15]",-7.3,0.0037,0.20,-7.6,-7.3,-7.0,2772,785,1.0
"log_lik[16]",-7.3,0.0045,0.27,-7.7,-7.2,-6.8,3485,987,1.00
"log_lik[17]",-3.0,0.0011,0.057,-3.1,-3.0,-2.9,2664,754,1.0
"log_lik[18]",-3.8,0.0011,0.063,-3.9,-3.8,-3.7,3104,879,1.0
"log_lik[19]",-2.5,0.0012,0.060,-2.6,-2.5,-2.4,2362,669,1.0
"log_lik[20]",-7.5,0.0030,0.18,-7.8,-7.4,-7.2,3488,988,1.00
"log_lik[21]",-5.3,0.0014,0.070,-5.4,-5.3,-5.2,2603,737,1.0
"log_lik[22]",-2.5,0.0012,0.059,-2.6,-2.5,-2.4,2364,669,1.0
"log_lik[23]",-6.9,0.0019,0.11,-7.1,-6.9,-6.7,3194,904,1.0
"log_lik[24]",-5.9,0.0014,0.071,-6.0,-5.9,-5.8,2668,755,1.0
"log_lik[25]",-5.2,0.0013,0.069,-5.3,-5.2,-5.1,2717,769,1.0
"log_lik[26]",-6.7,0.0017,0.093,-6.9,-6.7,-6.6,3109,880,1.0
"log_lik[27]",-5.7,0.0016,0.084,-5.9,-5.7,-5.6,2686,760,1.0
"log_lik[28]",-2.5,0.0011,0.056,-2.6,-2.5,-2.4,2411,682,1.0
"log_lik[29]",-3.0,0.0011,0.058,-3.1,-3.0,-2.9,2553,723,1.0
"log_lik[30]",-7.8,0.0046,0.25,-8.3,-7.8,-7.5,2961,838,1.0
"log_lik[31]",-4.4,0.0013,0.068,-4.5,-4.4,-4.3,2664,754,1.0
"log_lik[32]",-5.5,0.0016,0.081,-5.7,-5.5,-5.4,2541,719,1.0
"log_lik[33]",-3.1,0.0011,0.056,-3.2,-3.1,-3.0,2737,775,1.0
"log_lik[34]",-1.1,0.0021,0.10,-1.3,-1.1,-0.98,2400,679,1.0
"log_lik[35]",-3.9,0.0020,0.12,-4.1,-3.9,-3.7,3658,1036,1.00
"log_lik[36]",-1.1,0.0021,0.10,-1.3,-1.1,-0.98,2400,680,1.0
"log_lik[37]",-1.1,0.0021,0.10,-1.3,-1.1,-0.98,2400,680,1.0
"log_lik[38]",-5.1,0.0023,0.14,-5.4,-5.1,-4.9,3650,1033,1.00
"log_lik[39]",-4.5,0.0012,0.065,-4.6,-4.5,-4.4,3086,874,1.0
"log_lik[40]",-4.8,0.0013,0.069,-4.9,-4.8,-4.7,2673,757,1.0
"log_lik[41]",-1.2,0.0022,0.11,-1.4,-1.2,-1.0,2406,681,1.0
"log_lik[42]",-4.8,0.0013,0.069,-4.9,-4.8,-4.7,2699,764,1.0
"log_lik[43]",-3.5,0.0013,0.065,-3.6,-3.5,-3.4,2624,743,1.0
"log_lik[44]",-7.2,0.0037,0.20,-7.5,-7.2,-6.9,2886,817,1.0
"log_lik[45]",-5.8,0.0019,0.097,-6.0,-5.8,-5.7,2514,712,1.0
"log_lik[46]",-1.1,0.0021,0.10,-1.3,-1.1,-0.98,2400,680,1.0
"log_lik[47]",-1.1,0.0021,0.10,-1.3,-1.1,-0.98,2400,680,1.0
"log_lik[48]",-3.2,0.0013,0.066,-3.3,-3.2,-3.1,2545,721,1.0
"log_lik[49]",-1.1,0.0021,0.10,-1.3,-1.1,-0.98,2400,680,1.0
"log_lik[50]",-4.1,0.0013,0.069,-4.2,-4.1,-4.0,2669,756,1.0
"log_lik[51]",-1.2,0.0022,0.11,-1.4,-1.2,-1.0,2394,678,1.0
"log_lik[52]",-1.3,0.0023,0.11,-1.5,-1.3,-1.1,2439,690,1.0
"log_lik[53]",-1.2,0.0021,0.10,-1.3,-1.2,-1.00,2400,680,1.0
